Country,pop_est,continent,Longitude,Latitude,Coordinates
Aruba,103065,North America,-69.98267711,12.52088038,"-69.9827,12.52088"
Afghanistan,28400000,Asia,66.00473366,33.83523073,"66.00473,33.83523"
Angola,12799293,Africa,17.53736768,-12.29336054,"17.53737,-12.2934"
Anguilla,14436,North America,-63.06498927,18.2239595,"-63.065,18.22396"
Albania,3639453,Europe,20.04983396,41.14244989,"20.04983,41.14245"
Aland Islands,27153,Europe,19.95328768,60.21488688,"19.95329,60.21489"
Andorra,83888,Europe,1.560543779,42.54229102,"1.560544,42.54229"
United Arab Emirates,4798491,Asia,54.3001671,23.90528188,"54.30017,23.90528"
Argentina,40913584,South America,-65.17980693,-35.3813488,"-65.1798,-35.3813"
Armenia,2967004,Asia,44.92993276,40.28952569,"44.92993,40.28953"
American Samoa,65628,Oceania,-170.7180257,-14.30445997,"-170.718,-14.3045"
Antarctica,3802,Antarctica,19.92108951,-80.50857913,"19.92109,-80.5086"
Ashmore and Cartier Islands,-99,Oceania,123.5838379,-12.42993164,"123.5838,-12.4299"
French Southern and Antarctic Lands,140,Seven seas (open ocean),69.22666758,-49.24895485,"69.22667,-49.249"
Antigua and Barbuda,85632,North America,-61.79469343,17.2774996,"-61.7947,17.2775"
Australia,21262641,Oceania,134.4910001,-25.73288704,"134.491,-25.7329"
Austria,8210281,Europe,14.1264761,47.58549439,"14.12648,47.58549"
Azerbaijan,8238672,Asia,47.54599879,40.28827235,"47.546,40.28827"
Burundi,8988091,Africa,29.87512156,-3.359396657,"29.87512,-3.3594"
Belgium,10414336,Europe,4.640651139,50.63981576,"4.640651,50.63982"
Benin,8791832,Africa,2.327852544,9.641759702,"2.327853,9.64176"
Burkina Faso,15746232,Africa,-1.754566009,12.26953846,"-1.75457,12.26954"
Bangladesh,156050883,Asia,90.23812743,23.86731158,"90.23813,23.86731"
Bulgaria,7204687,Europe,25.21552909,42.76890318,"25.21553,42.7689"
Bahrain,727785,Asia,50.54196932,26.04205135,"50.54197,26.04205"
Canada,33487208,North America,-98.30777028,61.36206324,"-98.3078,61.36206"
Bahamas,309156,North America,-76.62843038,24.29036702,"-76.6284,24.29037"
Bosnia and Herzegovina,4613414,Europe,17.76876733,44.17450125,"17.76877,44.1745"
Saint-Barth̩lemy,7448,North America,-62.84067779,17.89880451,"-62.8407,17.8988"
Belarus,9648533,Europe,28.03209307,53.53131377,"28.03209,53.53131"
Belize,307899,North America,-88.71010486,17.20027509,"-88.7101,17.20028"
Bermuda,67837,North America,-64.7545589,32.31367802,"-64.7546,32.31368"
Bolivia,9775246,South America,-64.68538645,-16.70814787,"-64.6854,-16.7081"
Brazil,198739269,South America,-53.09783113,-10.78777702,"-53.0978,-10.7878"
Barbados,284589,North America,-59.559797,13.18145428,"-59.5598,13.18145"
Brunei Darussalam,388190,Asia,114.7220304,4.519689575,"114.722,4.51969"
Bhutan,691141,Asia,90.40188155,27.41106589,"90.40188,27.41107"
Botswana,1990876,Africa,23.79853368,-22.18403213,"23.79853,-22.184"
Central African Republic,4511488,Africa,20.46826831,6.56823297,"20.46827,6.568233"
Switzerland,7604467,Europe,8.208674706,46.79785878,"8.208675,46.79786"
Chile,16601707,South America,-71.38256213,-37.73070989,"-71.3826,-37.7307"
China,1338612970,Asia,103.8190735,36.56176546,"103.8191,36.56177"
C̫te d'Ivoire,20617068,Africa,-5.5692157,7.628426202,"-5.56922,7.628426"
Cameroon,18879301,Africa,12.73964156,5.69109849,"12.73964,5.691098"
Democratic Republic of the Congo,68692542,Africa,23.64396107,-2.87746289,"23.64396,-2.87746"
Republic of Congo,4012809,Africa,15.21965762,-0.837874631,"15.21966,-0.83787"
Cook Islands,11870,Oceania,-159.7872422,-21.21927288,"-159.787,-21.2193"
Colombia,45644023,South America,-73.08114582,3.913834307,"-73.0811,3.913834"
Comoros,752438,Africa,43.68253968,-11.87783444,"43.68254,-11.8778"
Cape Verde,429474,Africa,-23.9598882,15.95523324,"-23.9599,15.95523"
Costa Rica,4253877,North America,-84.19208768,9.976344638,"-84.1921,9.976345"
Cuba,11451652,North America,-79.01605384,21.62289528,"-79.0161,21.6229"
Cura̤ao,141766,North America,-68.97119369,12.19551675,"-68.9712,12.19552"
Cayman Islands,49035,North America,-80.91213321,19.42896497,"-80.9121,19.42896"
Northern Cyprus,265100,Asia,33.5684813,35.26277486,"33.56848,35.26277"
Cyprus,531640,Asia,33.0060022,34.91667211,"33.006,34.91667"
Czech Republic,10211904,Europe,15.31240163,49.73341233,"15.3124,49.73341"
Germany,82329758,Europe,10.38578051,51.10698181,"10.38578,51.10698"
Djibouti,516055,Africa,42.5606754,11.74871806,"42.56068,11.74872"
Dominica,72660,North America,-61.357726,15.4394702,"-61.3577,15.43947"
Denmark,5500510,Europe,10.02800992,55.98125296,"10.02801,55.98125"
Dominican Republic,9650054,North America,-70.50568896,18.89433082,"-70.5057,18.89433"
Algeria,34178188,Africa,2.617323009,28.15893849,"2.617323,28.15894"
Ecuador,14573101,South America,-78.75201923,-1.423816125,"-78.752,-1.42382"
Egypt,83082869,Africa,29.86190099,26.49593311,"29.8619,26.49593"
Eritrea,5647168,Africa,38.84617011,15.36186618,"38.84617,15.36187"
Spain,40525002,Europe,-3.647550473,40.24448698,"-3.64755,40.24449"
Estonia,1299371,Europe,25.54248537,58.67192972,"25.54249,58.67193"
Ethiopia,85237338,Africa,39.60080098,8.622786793,"39.6008,8.622787"
Finland,5250275,Europe,26.2746656,64.49884603,"26.27467,64.49885"
Fiji,944720,Oceania,165.4519543,-17.42858032,"165.452,-17.4286"
Falkland Islands,3140,South America,-59.35238956,-51.74483954,"-59.3524,-51.7448"
France,64057792,Europe,-2.761729445,42.17344011,"-2.76173,42.17344"
Faeroe Islands,48856,Europe,-6.880954234,62.05385403,"-6.88095,62.05385"
Federated States of Micronesia,107434,Oceania,153.2394379,7.452468137,"153.2394,7.452468"
Gabon,1514993,Africa,11.7886287,-0.58660025,"11.78863,-0.5866"
United Kingdom,62262000,Europe,-2.865631641,54.12387156,"-2.86563,54.12387"
Georgia,4615807,Asia,43.50780252,42.16855755,"43.5078,42.16856"
Guernsey,68633,Europe,-2.572390636,49.46809761,"-2.57239,49.4681"
Ghana,23832495,Africa,-1.216765658,7.953456435,"-1.21677,7.953456"
Guinea,10057975,Africa,-10.94066612,10.43621593,"-10.9407,10.43622"
The Gambia,1782893,Africa,-15.39601295,13.44965244,"-15.396,13.44965"
Guinea-Bissau,1533964,Africa,-14.94972445,12.04744948,"-14.9497,12.04745"
Equatorial Guinea,650702,Africa,10.34137924,1.705551355,"10.34138,1.705551"
Greece,10737428,Europe,22.95555794,39.07469623,"22.95556,39.0747"
Grenada,90739,North America,-61.68220189,12.11725044,"-61.6822,12.11725"
Greenland,57600,North America,-41.34191127,74.71051289,"-41.3419,74.71051"
Guatemala,13276517,North America,-90.36482009,15.69403664,"-90.3648,15.69404"
Guam,178430,Oceania,144.7679102,13.44165626,"144.7679,13.44166"
Guyana,772298,South America,-58.98202459,4.79378034,"-58.982,4.79378"
